dhb_region,linking_region,region,population
Northland,Northland,Northland,203900
Waitemata,Waitemata,Auckland,648900
Auckland,Auckland City,Auckland,492200
Counties Manukau,Counties/Manukau,Auckland,624500
Waikato,Waikato,Waikato,458600
Lakes,Bay of Plenty,Bay of Plenty,120100
Bay of Plenty,Bay of Plenty,Bay of Plenty,279800
Tairawhiti,Eastern,Eastern,52600
Taranaki,Central,Central,128800
Hawke's Bay,Eastern,Eastern,184700
Whanganui,Central,Central,70000
MidCentral,Central,Central,192700
Hutt Valley,Wellington,Wellington,162300
Capital and Coast,Wellington,Wellington,326700
Wairarapa,Wellington,Wellington,51200
Nelson Marlborough,Tasman,Tasman,167200
West Coast,Western,Western,32900
Canterbury,Canterbury,Canterbury,602000
South Canterbury,Canterbury,Canterbury,63000
Southern,Southern,Southern,360600
