id,colour,make,model,year,type,date_stolen,location
0,Black,Nissan,SKYLINE,2007,Saloon,13/07/2024,Counties/Manukau
1,Gold,Honda,CIVIC,1997,Saloon,11/08/2024,Waikato
2,Red,Hyundai,SANTA FE,2017,Stationwagon,22/08/2024,Waitemata
3,Silver,Trailer,ELITE 8X4,2021,Trailer,15/07/2024,Canterbury
4,Silver,Trailer,ALLROAD,2021,Trailer,27/03/2024,Wellington
5,Red,,,0,Quad - Four Wheeler,2/08/2024,Central
6,Grey,Trailer,TRANSPORTER TRAILER,2021,Trailer,8/08/2024,Waitemata
7,Silver,Briford,8X4,2021,Trailer,9/05/2024,Canterbury
8,Silver,Factory Built,BRENT SMITH TRAILERS,2018,Trailer,11/04/2024,Bay of Plenty
9,Silver,Trailer,CUSTOMER,2018,Boat Trailer,26/02/2024,Auckland City
10,Silver,Factory Built,CONCEPT TRAILERS,2021,Trailer,12/08/2024,Waikato
11,Silver,Briford,COULTON,2021,Trailer,3/08/2024,Canterbury
12,Green,Trailer,DOMESTIC TRAILER,1995,Trailer,24/05/2024,Southern
13,Yellow,Homebuilt,8X4 TANDEM,2018,Trailer,21/08/2024,Canterbury
14,Silver,Trailer,CUSTOM,2021,Trailer,6/08/2024,Canterbury
15,Silver,Trailer,DOMESTIC TRAILER,2021,Trailer,19/08/2024,Eastern
16,Silver,Briford,8X4 CAGE,2021,Trailer,9/08/2024,Auckland City
17,Silver,Titan,DOMESTIC TRAILER,2021,Trailer,11/03/2024,Wellington
18,Silver,Trailer,ROAD CHIEF,2021,Trailer,27/07/2024,Central
19,Silver,Trailer,CUSTOM BUILT,2018,Trailer,17/08/2024,Waikato
20,Grey,Trailer,DOMESTIC TRAILER,1997,Trailer,9/04/2024,Waikato
21,Grey,Trailer,BST530QR,2021,Boat Trailer,3/03/2024,Central
22,Silver,Trailer,ELITE 7 X 4,2021,Trailer,19/04/2024,Canterbury
23,Silver,Briford,TRAILER,2018,Trailer - Heavy,5/08/2024,Counties/Manukau
